# Tamaño   Tiempo_Real    Tiempo_Estimado
3           0.00100000     114.56548862   
4           0.00100000     114.56548862   
5           0.00100000     114.56548862   
6           0.00100000     114.56548862   
7           0.00100000     114.56548862   
8           0.00200000     114.56548862   
9           0.00300000     114.56548862   
10          0.00400000     114.56548862   
11          0.00900000     114.56548862   
12          0.01800000     114.56548862   
13          0.03700000     114.56548862   
14          0.07100000     114.56548862   
15          0.13900000     114.56548862   
16          0.27800000     114.56548862   
17          0.56400000     114.56548862   
18          1.24900000     114.56548862   
19          2.37200000     114.56548862   
20          4.92600000     114.56548862   
21          6.94200000     114.56548862   
22          13.28600000    114.56548864   
23          33.64500000    114.56548892   
24          66.71100000    114.56549570   
25          119.21100000   114.56566563   
26          203.27800000   114.57009086   
27          460.00600000   114.68974915   
28          780.67300000   118.04478337   
29          1549.59400000  215.46503626   
30          3096.30500000  3141.55191765  
